truth_event_id,count_total,event_ts,notes
img2628-truth-0001,1,,
img2628-truth-0002,2,,
img2628-truth-0003,3,,
img2628-truth-0004,4,,
img2628-truth-0005,5,,
img2628-truth-0006,6,,
img2628-truth-0007,7,,
img2628-truth-0008,8,,
img2628-truth-0009,9,,
img2628-truth-0010,10,,
img2628-truth-0011,11,,
img2628-truth-0012,12,,
img2628-truth-0013,13,,
img2628-truth-0014,14,,
img2628-truth-0015,15,,
img2628-truth-0016,16,,
img2628-truth-0017,17,,
img2628-truth-0018,18,,
img2628-truth-0019,19,,
img2628-truth-0020,20,,
img2628-truth-0021,21,,
img2628-truth-0022,22,,
img2628-truth-0023,23,,
img2628-truth-0024,24,,
img2628-truth-0025,25,,
