epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9896,3.1451,6.03593,1.98129,0.00024,0.06667,0.00013,5e-05,3.06365,5.84567,1.88753,0.0001,0.0001,0.0001
2,21.5424,2.64863,5.63623,1.66898,0.0019,0.53333,0.0024,0.00088,2.44096,5.1059,1.49714,0.000211288,0.000211288,0.000211288
3,30.8225,2.44646,4.64517,1.36611,0.00214,0.6,0.00425,0.00226,2.10664,4.697,1.42623,0.000313072,0.000313072,0.000313072
4,40.2542,2.16766,3.51932,1.34198,0.00214,0.6,0.00473,0.00238,1.95038,4.39922,1.35779,0.000405352,0.000405352,0.000405352
5,50.5015,2.10445,3.71263,1.25731,0.00214,0.6,0.00423,0.00213,1.82297,4.43687,1.27527,0.000488128,0.000488128,0.000488128
6,60.2614,2.11418,3.12859,1.32809,0.00214,0.6,0.00468,0.00205,1.65044,4.51168,1.20553,0.0005614,0.0005614,0.0005614
7,70.5183,1.93058,3.0058,1.2725,0.00214,0.6,0.0049,0.00195,1.63915,4.46607,1.21796,0.000625168,0.000625168,0.000625168
8,80.5128,1.91262,2.90033,1.25914,0.0019,0.53333,0.00418,0.00233,1.56983,4.38483,1.23303,0.000679432,0.000679432,0.000679432
9,91.4303,1.89292,2.84171,1.31134,0.0019,0.53333,0.06871,0.04094,1.84376,4.47374,1.28961,0.000724192,0.000724192,0.000724192
10,101.516,1.96821,2.83272,1.26654,0.0019,0.53333,0.19772,0.09161,1.9329,4.39145,1.34584,0.000759448,0.000759448,0.000759448
11,111.407,1.76137,2.54305,1.20346,0.00167,0.46667,0.13712,0.06728,1.83108,4.34841,1.33077,0.0007852,0.0007852,0.0007852
12,120.658,1.78023,2.45293,1.22098,0.0019,0.53333,0.13727,0.06814,1.76492,4.28419,1.3066,0.000801448,0.000801448,0.000801448
13,130.25,1.94226,2.62071,1.18636,0.00167,0.46667,0.00295,0.00154,1.74684,4.28076,1.30533,0.000808192,0.000808192,0.000808192
14,139.645,1.73724,2.36565,1.23624,0.00167,0.46667,0.00207,0.00106,1.73836,4.30244,1.31703,0.000805432,0.000805432,0.000805432
15,148.88,1.68678,2.24337,1.14772,0.00167,0.46667,0.00207,0.00106,1.73836,4.30244,1.31703,0.000793168,0.000793168,0.000793168
16,158.256,1.66627,2.95398,1.21173,0.00214,0.6,0.00287,0.00141,1.83247,4.18343,1.34193,0.0007714,0.0007714,0.0007714
17,167.465,1.59875,2.68496,1.2087,0.00167,0.46667,0.00193,0.00103,1.68325,4.19952,1.33478,0.0007328,0.0007328,0.0007328
18,176.868,1.60249,2.91871,1.17504,0.0019,0.53333,0.0674,0.04686,1.7052,3.99718,1.32026,0.0006536,0.0006536,0.0006536
19,186.242,1.5857,2.83145,1.19234,0.0019,0.53333,0.0674,0.04686,1.7052,3.99718,1.32026,0.0005744,0.0005744,0.0005744
20,196.473,1.45429,2.61493,1.13669,0.00262,0.73333,0.53607,0.32357,1.79788,3.488,1.31318,0.0004952,0.0004952,0.0004952
21,206.358,1.59264,2.86028,1.18341,1,0.3847,0.56339,0.32739,1.70073,2.95127,1.25877,0.000416,0.000416,0.000416
22,216.466,1.56288,2.64854,1.20113,1,0.48681,0.60059,0.35022,1.67277,2.53158,1.23038,0.0003368,0.0003368,0.0003368
23,225.821,1.55704,2.60446,1.16934,1,0.48681,0.60059,0.35022,1.67277,2.53158,1.23038,0.0002576,0.0002576,0.0002576
24,235.516,1.4948,2.41143,1.14568,0.89248,0.53333,0.62669,0.35097,1.69014,2.37121,1.23693,0.0001784,0.0001784,0.0001784
25,244.851,1.469,2.56357,1.11259,0.93944,0.53333,0.63053,0.35203,1.66442,2.26417,1.2299,9.92e-05,9.92e-05,9.92e-05
