epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1916,1.80574,3.47432,1.7333,0.01984,0.71839,0.13236,0.05984,1.33146,3.07948,1.24582,0.00016,0.00016,0.00016
2,44.8939,1.18623,2.47451,1.15055,0.07411,0.70115,0.43553,0.26619,0.87978,2.80947,0.98248,0.00032317,0.00032317,0.00032317
3,67.0539,0.99619,1.3191,1.03071,0.79946,0.28736,0.53391,0.37883,0.96152,2.42632,1.02188,0.00046852,0.00046852,0.00046852
4,89.7273,0.9016,1.08783,0.99194,1,0.22718,0.49523,0.35406,0.97374,2.69151,1.13703,0.00059605,0.00059605,0.00059605
5,110.912,0.82197,0.97839,0.94264,1,0.11736,0.32992,0.2202,1.11278,3.13396,1.26622,0.00070576,0.00070576,0.00070576
6,137.573,0.85681,0.96472,0.94804,0.03151,0.61494,0.19562,0.15704,1.05348,3.32908,1.26499,0.00079765,0.00079765,0.00079765
7,159.552,0.77033,0.89089,0.9178,0.98737,0.44925,0.60507,0.50067,0.76473,2.22466,0.98745,0.00087172,0.00087172,0.00087172
8,182.339,0.7433,0.8711,0.93316,0.95607,0.62541,0.78985,0.67888,0.66479,1.53881,0.91912,0.00092797,0.00092797,0.00092797
9,204.38,0.73872,0.83174,0.90981,0.95188,0.63218,0.84199,0.72333,0.68848,1.50423,0.92083,0.0009664,0.0009664,0.0009664
10,227.288,0.70016,0.78791,0.90738,0.94637,0.70995,0.87591,0.75784,0.63622,1.2935,0.8996,0.00098701,0.00098701,0.00098701
11,246.682,0.60708,0.85853,0.89361,0.92382,0.6092,0.80791,0.68164,0.66851,1.46763,0.91184,0.0009898,0.0009898,0.0009898
12,267.806,0.6239,0.80685,0.89158,0.91845,0.64724,0.84189,0.71926,0.64365,1.46603,0.90421,0.000911,0.000911,0.000911
13,289.123,0.59868,0.78987,0.86573,0.93776,0.77933,0.90195,0.78213,0.59234,1.24858,0.88952,0.000812,0.000812,0.000812
14,310.91,0.57016,0.77133,0.86204,0.97526,0.9062,0.9269,0.80603,0.54954,0.97272,0.86327,0.000713,0.000713,0.000713
15,331.208,0.5289,0.74182,0.84069,0.97567,0.9217,0.9303,0.80893,0.56494,0.79382,0.86168,0.000614,0.000614,0.000614
16,351.369,0.53202,0.71741,0.8652,0.98151,0.91548,0.94145,0.83833,0.52971,0.70332,0.85957,0.000515,0.000515,0.000515
17,371.687,0.51058,0.71039,0.86449,0.96371,0.91574,0.94225,0.85232,0.46212,0.65673,0.85428,0.000416,0.000416,0.000416
18,391.206,0.49696,0.67864,0.85272,0.97743,0.9023,0.94209,0.85488,0.43531,0.63649,0.85427,0.000317,0.000317,0.000317
19,411.524,0.47368,0.67044,0.8522,0.98135,0.90742,0.94536,0.85998,0.44691,0.61361,0.85938,0.000218,0.000218,0.000218
20,431.969,0.46243,0.65849,0.84473,0.98001,0.90805,0.94607,0.86327,0.44242,0.60474,0.85799,0.000119,0.000119,0.000119
